exp,dataset,d_prime,clip,batch,epochs,sigma,evr,evr_std,evr_pca,evr_random
clip,mnist784,10,1.0,256,10,3.260415152070504,0.3755240148215771,0.0029842598676768656,0.48915557457567155,0.012746208378210838
clip,mnist784,10,2.0,256,10,3.260415152070504,0.4393214781566222,0.006153156332727386,0.48915557457567155,0.012746208378210838
clip,mnist784,10,5.0,256,10,3.260415152070504,0.460120343206446,0.0009983826022796833,0.48915557457567155,0.012746208378210838
clip,mnist784,10,10.0,256,10,3.260415152070504,0.4412746838997376,0.0007142579784598218,0.48915557457567155,0.012746208378210838
clip,mnist784,10,20.0,256,10,3.260415152070504,0.3982721600917937,0.0011631677494051828,0.48915557457567155,0.012746208378210838
clip,mnist784,10,50.0,256,10,3.260415152070504,0.2824927603648202,0.0012842957048200489,0.48915557457567155,0.012746208378210838
clip,mnist784,10,100.0,256,10,3.260415152070504,0.15921252816894915,0.002950407542438079,0.48915557457567155,0.012746208378210838
clip,mnist784,10,200.0,256,10,3.260415152070504,0.04592049173428737,0.001185369965665577,0.48915557457567155,0.012746208378210838
clip,glove100,10,0.1,256,10,1.9445117173539161,0.22083032813611828,0.0006403517674755389,0.24469745013623187,0.09941210630892612
clip,glove100,10,0.2,256,10,1.9445117173539161,0.23326358857518245,0.0005310952758025995,0.24469745013623187,0.09941210630892612
clip,glove100,10,0.5,256,10,1.9445117173539161,0.2388326268360826,0.0006856056579458789,0.24469745013623187,0.09941210630892612
clip,glove100,10,1.0,256,10,1.9445117173539161,0.23957056778491392,0.00020172338271457144,0.24469745013623187,0.09941210630892612
clip,glove100,10,2.0,256,10,1.9445117173539161,0.2400402277882214,0.00013018095026580455,0.24469745013623187,0.09941210630892612
clip,glove100,10,5.0,256,10,1.9445117173539161,0.23656873720742322,0.00018500082283931597,0.24469745013623187,0.09941210630892612
clip,glove100,10,10.0,256,10,1.9445117173539161,0.21420026415751145,0.0010077854555049024,0.24469745013623187,0.09941210630892612
clip,glove100,10,20.0,256,10,1.9445117173539161,0.15997197387647014,0.0027626160302223076,0.24469745013623187,0.09941210630892612
