exp,dataset,d_prime,clip,batch,epochs,sigma,evr,evr_std,evr_pca,evr_random,captured_gain
dprime,mnist784,2,5.0,256,10,3.260415152070504,0.1636469211482199,8.450265108250453e-05,0.16901046457447233,0.002659242663351486,0.9677577154851433
dprime,mnist784,5,5.0,256,10,3.260415152070504,0.3203258162333887,0.0005546820619959037,0.33342396018061515,0.006350332025507793,0.9599535308881125
dprime,mnist784,8,5.0,256,10,3.260415152070504,0.4154520869097344,0.000589842438548695,0.4381520808210739,0.010094099643777577,0.9469698150495706
dprime,mnist784,10,5.0,256,10,3.260415152070504,0.460120343206446,0.0009983826022796833,0.48915557457567155,0.012746208378210838,0.9390540290990184
dprime,mnist784,15,5.0,256,10,3.260415152070504,0.5267048920844898,0.0012266524023729938,0.580439884979831,0.019327119974480937,0.9042349483978878
dprime,mnist784,20,5.0,256,10,3.260415152070504,0.5626509106747634,0.0028671035448307965,0.6446872088959428,0.026236493597576644,0.8673519228098852
dprime,mnist784,30,5.0,256,10,3.260415152070504,0.5956405322656525,0.000905532574207445,0.7316100937512624,0.039420820533632536,0.803565922289495
dprime,mnist784,50,5.0,256,10,3.260415152070504,0.6316343211657777,0.0008262167570272853,0.8253937961987818,0.06266486869504476,0.7459654825638499
dprime,glove100,2,2.0,256,5,1.8353298774253557,0.09371800886181282,2.5642065285743194e-05,0.09511906063814415,0.019897401893966382,0.9813743568046513
dprime,glove100,5,2.0,256,5,1.8353298774253557,0.16103707907715845,7.57415536445914e-05,0.16309157674659916,0.05012377746259668,0.9818134222100257
dprime,glove100,8,2.0,256,5,1.8353298774253557,0.20927683028234856,0.0003721590059794227,0.21323443979770207,0.08059151138764477,0.9701634337933281
dprime,glove100,10,2.0,256,5,1.8353298774253557,0.24016482950058138,0.00031330254893562813,0.24469745013623187,0.09941210630892612,0.968801941639494
dprime,glove100,15,2.0,256,5,1.8353298774253557,0.30772750385173936,0.00013201028335963036,0.3136027913790626,0.1503579342643835,0.9640093560607801
dprime,glove100,20,2.0,256,5,1.8353298774253557,0.3678594882150072,0.00015051351733372915,0.3751221288618735,0.19975888959450325,0.9585851591404899
dprime,glove100,30,2.0,256,5,1.8353298774253557,0.4739016619776428,0.00035699744904609914,0.4854805575345748,0.298066469695403,0.9382175817707558
dprime,glove100,50,2.0,256,5,1.8353298774253557,0.6605303296902799,0.0007036386504606381,0.6752137891049945,0.4978692318191862,0.9172037775534845
