dataset,d_prime,subsample,n_sub,dpsgd_eff,dpsgd_eff_std,svd_eff,evr_pca
mnist784,5,10%,7000,0.9931234780184227,0.00031305346063805823,0.9984271308075479,0.33342396018061515
mnist784,5,25%,17500,0.992295758693379,0.000511376383762224,0.9993396395622849,0.33342396018061515
mnist784,5,50%,35000,0.9949213082154355,0.00015551288283200754,0.9998248515270519,0.33342396018061515
mnist784,5,100%,70000,0.9929387069800165,0.0002314555611286892,1.0000000000000007,0.33342396018061515
mnist784,5,2000pts,2000,0.992275834198817,0.0002815087803739782,0.993437734839395,0.33342396018061515
mnist784,10,10%,7000,0.994481744751046,0.0001451972008191414,0.998312456708901,0.48915557457567155
mnist784,10,25%,17500,0.9941053365696849,0.00042039115290295114,0.9993616416896209,0.48915557457567155
mnist784,10,50%,35000,0.996155054595055,0.00014353825515253869,0.9997876916307671,0.48915557457567155
mnist784,10,100%,70000,0.9948854786592202,6.77025223208434e-05,1.0000000000000004,0.48915557457567155
mnist784,10,2000pts,2000,0.9899531701554333,0.0005068406603683561,0.9924609221089099,0.48915557457567155
mnist784,20,10%,7000,0.9938551679113834,0.0012937135098825454,0.9977991644300755,0.6446872088959428
mnist784,20,25%,17500,0.9954193483996471,0.0008534141195531962,0.9992239643342049,0.6446872088959428
mnist784,20,50%,35000,0.9972755478942621,7.098311345344746e-05,0.9997696246837247,0.6446872088959428
mnist784,20,100%,70000,0.9966576128874628,0.00013310913344030632,0.9999999999999991,0.6446872088959428
mnist784,20,2000pts,2000,0.9743123527675559,0.001804368634328909,0.99112539106667,0.6446872088959428
mnist784,50,10%,7000,0.9910550477471315,0.0005809717188400033,0.9979361526896597,0.8253937961987818
mnist784,50,25%,17500,0.9972593627433554,0.00042370760240253877,0.999256078030918,0.8253937961987818
mnist784,50,50%,35000,0.9985749409720445,6.355775681248874e-05,0.9997608720598173,0.8253937961987818
mnist784,50,100%,70000,0.9983857378102948,3.973287262924548e-05,1.0000000000000016,0.8253937961987818
mnist784,50,2000pts,2000,0.9056805449116553,0.0014286331464119502,0.9922116600246523,0.8253937961987818
glove100,5,10%,40000,0.9709368616671569,0.007629085089215157,0.9987130628838582,0.16309157674659916
glove100,5,25%,100000,0.9992817370608913,8.405476107677546e-05,0.9995960738205708,0.16309157674659916
glove100,5,50%,200000,0.9995938022416384,1.3424885486134985e-05,0.999873129872104,0.16309157674659916
glove100,5,100%,400000,0.9996520138904902,3.0819501617645225e-05,0.9999999999999988,0.16309157674659916
glove100,5,2000pts,2000,0.38122482308753036,0.010414396801916269,0.9694574228731033,0.16309157674659916
glove100,10,10%,40000,0.9651669008432974,0.0009567773388240959,0.998186923462726,0.24469745013623187
glove100,10,25%,100000,0.9947149142147289,0.0011712517901732668,0.9993755360583116,0.24469745013623187
glove100,10,50%,200000,0.9990185205770512,0.0006086424718390676,0.9997825290439712,0.24469745013623187
glove100,10,100%,400000,0.9997125032899135,2.4389846225960436e-05,0.9999999999999997,0.24469745013623187
glove100,10,2000pts,2000,0.4773658754604546,0.017789291576839023,0.9513650404380719,0.24469745013623187
glove100,20,10%,40000,0.9518420483544253,0.0009695982626461645,0.9971289077828358,0.3751221288618735
glove100,20,25%,100000,0.9899636318829838,0.0017910197262077582,0.9990248113122425,0.3751221288618735
glove100,20,50%,200000,0.9974559984819331,0.0010509242323198064,0.9996652254507767,0.3751221288618735
glove100,20,100%,400000,0.9991743074172864,0.000541247137120194,0.9999999999999994,0.3751221288618735
glove100,20,2000pts,2000,0.6156197933296848,0.012563653401713185,0.9511597083703143,0.3751221288618735
glove100,50,10%,40000,0.9614294454218979,0.0021252519424654823,0.9971024841227655,0.6752137891049945
glove100,50,25%,100000,0.9899175113039317,0.0010166286026860561,0.9990590646445178,0.6752137891049945
glove100,50,50%,200000,0.9967890661370831,0.00036320042257858784,0.999693919645804,0.6752137891049945
glove100,50,100%,400000,0.9990951220248219,3.4170234313279845e-05,0.9999999999999996,0.6752137891049945
glove100,50,2000pts,2000,0.7951613274218738,0.003240856952430525,0.9632284102190439,0.6752137891049945
