dataset,d_prime,step,evr,evr_pca
mnist784,10,2740,0.47072788725224696,0.48915557457567155
mnist784,50,20,0.7987697486719268,0.8253937961987818
mnist784,50,40,0.8160289256402153,0.8253937961987818
mnist784,50,60,0.8171285824247914,0.8253937961987818
mnist784,50,80,0.8177783187760939,0.8253937961987818
mnist784,50,100,0.817837726836046,0.8253937961987818
mnist784,50,120,0.8179759350035903,0.8253937961987818
mnist784,50,140,0.8184093978607665,0.8253937961987818
mnist784,50,160,0.8181944348491683,0.8253937961987818
mnist784,50,180,0.8181220872210269,0.8253937961987818
mnist784,50,200,0.8182779590385526,0.8253937961987818
mnist784,50,220,0.8178977883399188,0.8253937961987818
mnist784,50,240,0.8180683481629499,0.8253937961987818
mnist784,50,260,0.818271678544218,0.8253937961987818
mnist784,50,280,0.8177895383927366,0.8253937961987818
mnist784,50,300,0.8182859566459036,0.8253937961987818
mnist784,50,320,0.818418774865261,0.8253937961987818
mnist784,50,340,0.818112867490851,0.8253937961987818
mnist784,50,360,0.8182467262148878,0.8253937961987818
mnist784,50,380,0.8183089122817913,0.8253937961987818
mnist784,50,400,0.818166006234543,0.8253937961987818
mnist784,50,420,0.818005060850701,0.8253937961987818
mnist784,50,440,0.8182702099226431,0.8253937961987818
mnist784,50,460,0.8181189788299418,0.8253937961987818
mnist784,50,480,0.8182678773010116,0.8253937961987818
mnist784,50,500,0.8183113056458899,0.8253937961987818
mnist784,50,520,0.8182999748683909,0.8253937961987818
mnist784,50,540,0.8181768707765553,0.8253937961987818
mnist784,50,560,0.8181182871666198,0.8253937961987818
mnist784,50,580,0.8183749756581834,0.8253937961987818
mnist784,50,600,0.8185806731562569,0.8253937961987818
mnist784,50,620,0.8184079055795759,0.8253937961987818
mnist784,50,640,0.8178643102158984,0.8253937961987818
mnist784,50,660,0.8182675099693199,0.8253937961987818
mnist784,50,680,0.8182696353451934,0.8253937961987818
mnist784,50,700,0.8179163536980875,0.8253937961987818
mnist784,50,720,0.8183211967457676,0.8253937961987818
mnist784,50,740,0.8183592387962316,0.8253937961987818
mnist784,50,760,0.8181540753408416,0.8253937961987818
mnist784,50,780,0.8180828967950164,0.8253937961987818
mnist784,50,800,0.818080123148645,0.8253937961987818
mnist784,50,820,0.8184427704127037,0.8253937961987818
mnist784,50,840,0.8181519918902073,0.8253937961987818
mnist784,50,860,0.8180311360527598,0.8253937961987818
mnist784,50,880,0.8181579105998863,0.8253937961987818
mnist784,50,900,0.8182413172803434,0.8253937961987818
mnist784,50,920,0.8182613976728084,0.8253937961987818
mnist784,50,940,0.8184656454909823,0.8253937961987818
mnist784,50,960,0.8182787118217635,0.8253937961987818
mnist784,50,980,0.8182999825128368,0.8253937961987818
mnist784,50,1000,0.817891827175662,0.8253937961987818
mnist784,50,1020,0.818396917455491,0.8253937961987818
mnist784,50,1040,0.8181754302448012,0.8253937961987818
mnist784,50,1060,0.8185141687419193,0.8253937961987818
mnist784,50,1080,0.8178828965395655,0.8253937961987818
mnist784,50,1100,0.8178037610675524,0.8253937961987818
mnist784,50,1120,0.8185408229577383,0.8253937961987818
mnist784,50,1140,0.818355549631019,0.8253937961987818
mnist784,50,1160,0.8185934578421248,0.8253937961987818
mnist784,50,1180,0.8180533248481023,0.8253937961987818
mnist784,50,1200,0.8184643037868384,0.8253937961987818
mnist784,50,1220,0.8181216239995804,0.8253937961987818
mnist784,50,1240,0.8182017848075968,0.8253937961987818
mnist784,50,1260,0.818324972869432,0.8253937961987818
mnist784,50,1280,0.8181778224913855,0.8253937961987818
mnist784,50,1300,0.8182256682119093,0.8253937961987818
mnist784,50,1320,0.8181999054440015,0.8253937961987818
mnist784,50,1340,0.8182464339335086,0.8253937961987818
mnist784,50,1360,0.8181349681514898,0.8253937961987818
mnist784,50,1380,0.8179671710958721,0.8253937961987818
mnist784,50,1400,0.8183197302422203,0.8253937961987818
mnist784,50,1420,0.8183138934680536,0.8253937961987818
mnist784,50,1440,0.8183111856830881,0.8253937961987818
mnist784,50,1460,0.8180971447952304,0.8253937961987818
mnist784,50,1480,0.8179140404217655,0.8253937961987818
mnist784,50,1500,0.8181987703518243,0.8253937961987818
mnist784,50,1520,0.8179404239212446,0.8253937961987818
mnist784,50,1540,0.8180943596127824,0.8253937961987818
mnist784,50,1560,0.8184785300695121,0.8253937961987818
mnist784,50,1580,0.8178563792804576,0.8253937961987818
mnist784,50,1600,0.8180389940730713,0.8253937961987818
mnist784,50,1620,0.818473239636268,0.8253937961987818
mnist784,50,1640,0.8180080439084482,0.8253937961987818
mnist784,50,1660,0.8179933570010539,0.8253937961987818
mnist784,50,1680,0.8184118728504666,0.8253937961987818
mnist784,50,1700,0.8178399270822102,0.8253937961987818
mnist784,50,1720,0.818645600168093,0.8253937961987818
mnist784,50,1740,0.81816877991053,0.8253937961987818
mnist784,50,1760,0.8183149609933368,0.8253937961987818
mnist784,50,1780,0.8181650766926284,0.8253937961987818
mnist784,50,1800,0.8184170592054432,0.8253937961987818
mnist784,50,1820,0.8183530087187318,0.8253937961987818
mnist784,50,1840,0.8181770555557869,0.8253937961987818
mnist784,50,1860,0.8181242037753018,0.8253937961987818
mnist784,50,1880,0.8184665101656917,0.8253937961987818
mnist784,50,1900,0.8180185176704803,0.8253937961987818
mnist784,50,1920,0.8168863796618875,0.8253937961987818
mnist784,50,1940,0.8180268763284195,0.8253937961987818
mnist784,50,1960,0.8180522751843289,0.8253937961987818
mnist784,50,1980,0.8183268079830414,0.8253937961987818
mnist784,50,2000,0.8182085895736366,0.8253937961987818
mnist784,50,2020,0.8184207273647354,0.8253937961987818
mnist784,50,2040,0.817860474072381,0.8253937961987818
mnist784,50,2060,0.8181006171335738,0.8253937961987818
mnist784,50,2080,0.8183598000855995,0.8253937961987818
mnist784,50,2100,0.8180928502705046,0.8253937961987818
mnist784,50,2120,0.8181010563876374,0.8253937961987818
mnist784,50,2140,0.817902870614731,0.8253937961987818
mnist784,50,2160,0.8181651869109382,0.8253937961987818
mnist784,50,2180,0.818022810668695,0.8253937961987818
mnist784,50,2200,0.8182475682415734,0.8253937961987818
mnist784,50,2220,0.8184975916412096,0.8253937961987818
mnist784,50,2240,0.8178918846048502,0.8253937961987818
mnist784,50,2260,0.8178714809558811,0.8253937961987818
mnist784,50,2280,0.8181696701114434,0.8253937961987818
mnist784,50,2300,0.8181421556782049,0.8253937961987818
mnist784,50,2320,0.8181902545785589,0.8253937961987818
mnist784,50,2340,0.818349398424511,0.8253937961987818
mnist784,50,2360,0.8180643104369166,0.8253937961987818
mnist784,50,2380,0.8183071714591115,0.8253937961987818
mnist784,50,2400,0.8185378015374374,0.8253937961987818
mnist784,50,2420,0.8181346317404078,0.8253937961987818
mnist784,50,2440,0.8180983716087721,0.8253937961987818
mnist784,50,2460,0.8179397274489348,0.8253937961987818
mnist784,50,2480,0.8185672397145257,0.8253937961987818
mnist784,50,2500,0.81847832074914,0.8253937961987818
mnist784,50,2520,0.8181539342848743,0.8253937961987818
mnist784,50,2540,0.8179476060836395,0.8253937961987818
mnist784,50,2560,0.8180189327509958,0.8253937961987818
mnist784,50,2580,0.8183136052993352,0.8253937961987818
mnist784,50,2600,0.8179553350770924,0.8253937961987818
mnist784,50,2620,0.818305099912785,0.8253937961987818
mnist784,50,2640,0.8179919314160611,0.8253937961987818
mnist784,50,2660,0.8182526167783298,0.8253937961987818
mnist784,50,2680,0.8182304239113819,0.8253937961987818
mnist784,50,2700,0.8179672754057167,0.8253937961987818
mnist784,50,2720,0.8180281531423576,0.8253937961987818
mnist784,50,2740,0.8129181516970194,0.8253937961987818
glove100,10,20,0.10925042137304153,0.24469745013623187
glove100,10,40,0.12241856415731353,0.24469745013623187
glove100,10,60,0.13710266275844168,0.24469745013623187
glove100,10,80,0.1509079487721993,0.24469745013623187
glove100,10,100,0.16138158899478175,0.24469745013623187
glove100,10,120,0.16895765593845027,0.24469745013623187
glove100,10,140,0.17493987947070727,0.24469745013623187
glove100,10,160,0.18006181500978313,0.24469745013623187
glove100,10,180,0.18448158556005714,0.24469745013623187
glove100,10,200,0.18851352984884742,0.24469745013623187
glove100,10,220,0.19231559366246376,0.24469745013623187
glove100,10,240,0.19574165687455006,0.24469745013623187
glove100,10,260,0.19899262717469088,0.24469745013623187
glove100,10,280,0.20189292165082304,0.24469745013623187
glove100,10,300,0.2047255029053127,0.24469745013623187
glove100,10,320,0.20729912813809967,0.24469745013623187
glove100,10,340,0.20979701091481107,0.24469745013623187
glove100,10,360,0.21215741907986618,0.24469745013623187
glove100,10,380,0.21432944193227116,0.24469745013623187
glove100,10,400,0.21635658005895156,0.24469745013623187
glove100,10,420,0.2183084491084206,0.24469745013623187
glove100,10,440,0.22008637201432485,0.24469745013623187
glove100,10,460,0.22168555958327557,0.24469745013623187
glove100,10,480,0.22323027509006224,0.24469745013623187
glove100,10,500,0.2246850106123944,0.24469745013623187
glove100,10,520,0.2258898838883647,0.24469745013623187
glove100,10,540,0.22716690010618892,0.24469745013623187
glove100,10,560,0.22831072281877246,0.24469745013623187
glove100,10,580,0.2293323688021165,0.24469745013623187
glove100,10,600,0.230317797988318,0.24469745013623187
glove100,10,620,0.23123031893334714,0.24469745013623187
glove100,10,640,0.23198129929971692,0.24469745013623187
glove100,10,660,0.23273340006845736,0.24469745013623187
glove100,10,680,0.23342929837022228,0.24469745013623187
glove100,10,700,0.2340568516688573,0.24469745013623187
glove100,10,720,0.23460893490451837,0.24469745013623187
glove100,10,740,0.2351141196383244,0.24469745013623187
glove100,10,760,0.2356238928996629,0.24469745013623187
glove100,10,780,0.2361170092071167,0.24469745013623187
glove100,10,800,0.23650505340196457,0.24469745013623187
glove100,10,820,0.23694093712946343,0.24469745013623187
glove100,10,840,0.23730725584371284,0.24469745013623187
glove100,10,860,0.23764627900286622,0.24469745013623187
glove100,10,880,0.2379935854355647,0.24469745013623187
glove100,10,900,0.23829044096634308,0.24469745013623187
glove100,10,920,0.2385887375285879,0.24469745013623187
glove100,10,940,0.23885794485923117,0.24469745013623187
glove100,10,960,0.2390884667882189,0.24469745013623187
glove100,10,980,0.2393459467580665,0.24469745013623187
glove100,10,1000,0.23957802801779932,0.24469745013623187
glove100,10,1020,0.23978687790087796,0.24469745013623187
glove100,10,1040,0.23998589023278383,0.24469745013623187
glove100,10,1060,0.24018871628804708,0.24469745013623187
glove100,10,1080,0.24037149414153855,0.24469745013623187
glove100,10,1100,0.24052561477872472,0.24469745013623187
glove100,10,1120,0.24069804111268334,0.24469745013623187
glove100,10,1140,0.24085745312171783,0.24469745013623187
glove100,10,1160,0.24099901442541596,0.24469745013623187
glove100,10,1180,0.2411610370355473,0.24469745013623187
glove100,10,1200,0.2412947970782354,0.24469745013623187
glove100,10,1220,0.24143888239241604,0.24469745013623187
glove100,10,1240,0.2415704661062951,0.24469745013623187
glove100,10,1260,0.24167025257680308,0.24469745013623187
glove100,10,1280,0.2417921911175628,0.24469745013623187
glove100,10,1300,0.24189983930570638,0.24469745013623187
glove100,10,1320,0.24202063099356583,0.24469745013623187
glove100,10,1340,0.2421035890745959,0.24469745013623187
glove100,10,1360,0.24217588032450585,0.24469745013623187
glove100,10,1380,0.24227479813443345,0.24469745013623187
glove100,10,1400,0.2423951751865995,0.24469745013623187
glove100,10,1420,0.24247574433330882,0.24469745013623187
glove100,10,1440,0.24254203545209257,0.24469745013623187
glove100,10,1460,0.24261320412832688,0.24469745013623187
glove100,10,1480,0.24269718853822944,0.24469745013623187
glove100,10,1500,0.2427297482777043,0.24469745013623187
glove100,10,1520,0.24280207397110581,0.24469745013623187
glove100,10,1540,0.24284401386761578,0.24469745013623187
glove100,10,1560,0.24294064427985082,0.24469745013623187
glove100,10,1580,0.24297148680879224,0.24469745013623187
glove100,10,1600,0.24304252228747272,0.24469745013623187
glove100,10,1620,0.2430837785698212,0.24469745013623187
glove100,10,1640,0.2431416016678603,0.24469745013623187
glove100,10,1660,0.24319577819665122,0.24469745013623187
glove100,10,1680,0.24324093596043933,0.24469745013623187
glove100,10,1700,0.24327615000975822,0.24469745013623187
glove100,10,1720,0.24332897867062545,0.24469745013623187
glove100,10,1740,0.24337472829247994,0.24469745013623187
glove100,10,1760,0.24339660862722992,0.24469745013623187
glove100,10,1780,0.24343697260675415,0.24469745013623187
glove100,10,1800,0.24347133844721455,0.24469745013623187
glove100,10,1820,0.243542875620213,0.24469745013623187
glove100,10,1840,0.24356984496602355,0.24469745013623187
glove100,10,1860,0.24362787524210727,0.24469745013623187
glove100,10,1880,0.243669218235474,0.24469745013623187
glove100,10,1900,0.2436894383500344,0.24469745013623187
glove100,10,1920,0.24371226835217705,0.24469745013623187
glove100,10,1940,0.24375402806647417,0.24469745013623187
glove100,10,1960,0.24378916669044146,0.24469745013623187
glove100,10,1980,0.2438154183529596,0.24469745013623187
glove100,10,2000,0.24383546967752967,0.24469745013623187
glove100,10,2020,0.2438769988277919,0.24469745013623187
glove100,10,2040,0.24387938714598556,0.24469745013623187
glove100,10,2060,0.24392463819844176,0.24469745013623187
glove100,10,2080,0.24394101502543006,0.24469745013623187
glove100,10,2100,0.24397393037768064,0.24469745013623187
glove100,10,2120,0.24398292630284094,0.24469745013623187
glove100,10,2140,0.24401833751776209,0.24469745013623187
glove100,10,2160,0.24402438155415612,0.24469745013623187
glove100,10,2180,0.2440445271518119,0.24469745013623187
glove100,10,2200,0.24404699038129993,0.24469745013623187
glove100,10,2220,0.24405863122247193,0.24469745013623187
glove100,10,2240,0.24407830852473736,0.24469745013623187
glove100,10,2260,0.2440986634775302,0.24469745013623187
glove100,10,2280,0.24412829858542578,0.24469745013623187
glove100,10,2300,0.24413402128466105,0.24469745013623187
glove100,10,2320,0.24414915432696674,0.24469745013623187
glove100,10,2340,0.24415550905088743,0.24469745013623187
glove100,10,2360,0.24417672824430464,0.24469745013623187
glove100,10,2380,0.24419628571734056,0.24469745013623187
glove100,10,2400,0.2441967356546159,0.24469745013623187
glove100,10,2420,0.24423130079891345,0.24469745013623187
glove100,10,2440,0.24422482994471598,0.24469745013623187
glove100,10,2460,0.24422938311562983,0.24469745013623187
glove100,10,2480,0.24425421144068143,0.24469745013623187
glove100,10,2500,0.24426590893925032,0.24469745013623187
glove100,10,2520,0.24425566185067868,0.24469745013623187
glove100,10,2540,0.24427412641626664,0.24469745013623187
glove100,10,2560,0.2442897676369749,0.24469745013623187
glove100,10,2580,0.24430274657658682,0.24469745013623187
glove100,10,2600,0.2443028341623907,0.24469745013623187
glove100,10,2620,0.24429692894498786,0.24469745013623187
glove100,10,2640,0.24430626071620543,0.24469745013623187
glove100,10,2660,0.24431540155675577,0.24469745013623187
glove100,10,2680,0.24430232767448024,0.24469745013623187
glove100,10,2700,0.2443133327905189,0.24469745013623187
glove100,10,2720,0.2443346509220035,0.24469745013623187
glove100,10,2740,0.2443476848536458,0.24469745013623187
glove100,10,2760,0.24435614713980705,0.24469745013623187
glove100,10,2780,0.24435536504335179,0.24469745013623187
glove100,10,2800,0.2443626314787397,0.24469745013623187
glove100,10,2820,0.24437236349006877,0.24469745013623187
glove100,10,2840,0.24438358026885354,0.24469745013623187
glove100,10,2860,0.24438525048002085,0.24469745013623187
glove100,10,2880,0.24438165846086873,0.24469745013623187
glove100,10,2900,0.2443899441418067,0.24469745013623187
glove100,10,2920,0.24438758707874428,0.24469745013623187
glove100,10,2940,0.24439407192251114,0.24469745013623187
glove100,10,2960,0.24439297256698078,0.24469745013623187
glove100,10,2980,0.2443990274979019,0.24469745013623187
glove100,10,3000,0.24440441994397144,0.24469745013623187
glove100,10,3020,0.24440556990042903,0.24469745013623187
glove100,10,3040,0.24442048473512623,0.24469745013623187
glove100,10,3060,0.24441530529990915,0.24469745013623187
glove100,10,3080,0.24441549813225075,0.24469745013623187
glove100,10,3100,0.2444270560415589,0.24469745013623187
glove100,10,3120,0.24440851256637555,0.24469745013623187
glove100,10,3140,0.2444099662699605,0.24469745013623187
glove100,10,3160,0.24442737034118608,0.24469745013623187
glove100,10,3180,0.24441823342379443,0.24469745013623187
glove100,10,3200,0.24442775661557078,0.24469745013623187
glove100,10,3220,0.24442279260360547,0.24469745013623187
glove100,10,3240,0.2444366467104356,0.24469745013623187
glove100,10,3260,0.24444213732620718,0.24469745013623187
glove100,10,3280,0.2444534264233641,0.24469745013623187
glove100,10,3300,0.244456042952533,0.24469745013623187
glove100,10,3320,0.2444349149125521,0.24469745013623187
glove100,10,3340,0.24443173223736034,0.24469745013623187
glove100,10,3360,0.2444201840549283,0.24469745013623187
glove100,10,3380,0.2444399710751913,0.24469745013623187
glove100,10,3400,0.24446036742606783,0.24469745013623187
glove100,10,3420,0.2444630197770933,0.24469745013623187
glove100,10,3440,0.2444415835945237,0.24469745013623187
glove100,10,3460,0.244457807050466,0.24469745013623187
glove100,10,3480,0.24444908200419666,0.24469745013623187
glove100,10,3500,0.24446221377887456,0.24469745013623187
glove100,10,3520,0.24446143790096794,0.24469745013623187
glove100,10,3540,0.24447996472766256,0.24469745013623187
glove100,10,3560,0.244466814401767,0.24469745013623187
glove100,10,3580,0.24444679454383209,0.24469745013623187
glove100,10,3600,0.24446464519547464,0.24469745013623187
glove100,10,3620,0.24447349887592806,0.24469745013623187
glove100,10,3640,0.2444729610478713,0.24469745013623187
glove100,10,3660,0.24447888355074965,0.24469745013623187
glove100,10,3680,0.2444763214965502,0.24469745013623187
glove100,10,3700,0.24446915742517533,0.24469745013623187
glove100,10,3720,0.24446275574900445,0.24469745013623187
glove100,10,3740,0.24447758610751127,0.24469745013623187
glove100,10,3760,0.2444713340492585,0.24469745013623187
glove100,10,3780,0.24448865667670064,0.24469745013623187
glove100,10,3800,0.2444764017631752,0.24469745013623187
glove100,10,3820,0.24448965060667446,0.24469745013623187
glove100,10,3840,0.2444690878240375,0.24469745013623187
glove100,10,3860,0.24448329875807992,0.24469745013623187
glove100,10,3880,0.24449194808880417,0.24469745013623187
glove100,10,3900,0.24450800438021073,0.24469745013623187
glove100,10,3920,0.24450822952820672,0.24469745013623187
glove100,10,3940,0.24451100555873592,0.24469745013623187
glove100,10,3960,0.2445029264236837,0.24469745013623187
glove100,10,3980,0.24450912436983485,0.24469745013623187
glove100,10,4000,0.2445128162086117,0.24469745013623187
glove100,10,4020,0.2444906080905218,0.24469745013623187
glove100,10,4040,0.2444963794235289,0.24469745013623187
glove100,10,4060,0.2444859558099781,0.24469745013623187
glove100,10,4080,0.24449357867853397,0.24469745013623187
glove100,10,4100,0.24449309247660805,0.24469745013623187
glove100,10,4120,0.24449919405630322,0.24469745013623187
glove100,10,4140,0.24450833940589806,0.24469745013623187
glove100,10,4160,0.24450497044521208,0.24469745013623187
glove100,10,4180,0.24452269887337522,0.24469745013623187
glove100,10,4200,0.24451548170695545,0.24469745013623187
glove100,10,4220,0.2445204823757307,0.24469745013623187
glove100,10,4240,0.24450359467700472,0.24469745013623187
glove100,10,4260,0.2444989012616273,0.24469745013623187
glove100,10,4280,0.24450078764009625,0.24469745013623187
glove100,10,4300,0.24450172877581128,0.24469745013623187
glove100,10,4320,0.24450941556401007,0.24469745013623187
glove100,10,4340,0.24451627537382534,0.24469745013623187
glove100,10,4360,0.2445085582107946,0.24469745013623187
glove100,10,4380,0.24451633125400327,0.24469745013623187
glove100,10,4400,0.24452922820892267,0.24469745013623187
glove100,10,4420,0.24453263215734206,0.24469745013623187
glove100,10,4440,0.2445215510232626,0.24469745013623187
glove100,10,4460,0.2445219640876929,0.24469745013623187
glove100,10,4480,0.24451605789499475,0.24469745013623187
glove100,10,4500,0.24453544639287683,0.24469745013623187
glove100,10,4520,0.24452376995508274,0.24469745013623187
glove100,10,4540,0.24454954851910837,0.24469745013623187
glove100,10,4560,0.24453028921497363,0.24469745013623187
glove100,10,4580,0.24453879943786674,0.24469745013623187
glove100,10,4600,0.24452433001074333,0.24469745013623187
glove100,10,4620,0.24452693654911828,0.24469745013623187
glove100,10,4640,0.24452830338317386,0.24469745013623187
