exp,dataset,d_prime,clip,batch,epochs,sigma,evr,evr_std,evr_pca,evr_random
batch,mnist784,10,5.0,64,10,1.9114974924186,0.38026278731499447,0.0013919221780206463,0.48915557457567155,0.012746208378210838
batch,mnist784,10,5.0,128,10,2.359603404475507,0.4411325995776652,0.0014234035894374153,0.48915557457567155,0.012746208378210838
batch,mnist784,10,5.0,256,10,3.260415152070504,0.460120343206446,0.0009983826022796833,0.48915557457567155,0.012746208378210838
batch,mnist784,10,5.0,512,10,4.5485548333621,0.4527725051561826,0.0035180172450898733,0.48915557457567155,0.012746208378210838
batch,mnist784,10,5.0,1024,10,6.392837970300379,0.4005235987122268,0.0038560177292998226,0.48915557457567155,0.012746208378210838
batch,glove100,10,2.0,64,10,1.6489960048438674,0.22490200122618842,0.0001701933630166028,0.24469745013623187,0.09941210630892612
batch,glove100,10,2.0,128,10,1.769569798127939,0.23671198099373167,0.0005058160416028184,0.24469745013623187,0.09941210630892612
batch,glove100,10,2.0,256,10,1.9445117173539161,0.2400402277882214,0.00013018095026580455,0.24469745013623187,0.09941210630892612
batch,glove100,10,2.0,512,10,2.2612052034184114,0.2406897666100177,0.00046851020645530554,0.24469745013623187,0.09941210630892612
batch,glove100,10,2.0,1024,10,3.0038354510022147,0.23953670406184902,0.0010201212132474164,0.24469745013623187,0.09941210630892612
